Clusters;BIC;AIC;Type
2.0;375711141.07358336;375649702.5477497;GMM Tied
4.0;372767202.9274507;372703400.9313793;GMM Tied
6.0;371069377.1831069;371003211.7167977;GMM Tied
8.0;370294313.6473324;370225784.71078545;GMM Tied
10.0;368062090.33961785;367991197.9328332;GMM Tied
12.0;367599082.60299623;367525826.72597384;GMM Tied
14.0;364987618.3862058;364911999.0389457;GMM Tied
16.0;361700938.62512505;361622955.80762714;GMM Tied
18.0;361133551.8097682;361053205.52203256;GMM Tied
20.0;360924662.9500932;360841953.19211984;GMM Tied
22.0;361824863.3979567;361739790.1697456;GMM Tied
24.0;361244965.6893406;361157528.9908917;GMM Tied
26.0;360913100.69418967;360823300.52550304;GMM Tied
28.0;360985600.9739206;360893437.3349962;GMM Tied
